Item/SKU,UPC,M.A.P,MSRP,NAME,Component 1,Component 2,Component 3,Component 4,Long Description ( OUTSIDE CHANNELS ONLY),Bullet 1,Bullet 2,Bullet 3,Bullet 4,Bullet 5,Bullet 6,Bullet 7,Bullet 8,Bullet 9,Bullet 10,Bullet 11,Bullet 12,Bullet 13,DB Link
2KP-RASRGRH48,1.95948E+11,"$6,749.91 ","$13,499.95 ","ZLINE 48"" Kitchen Package with DuraSnow® Stainless Steel Dual Fuel Range with Red Gloss Door and Convertible Vent Range Hood",RAS-RG-48,8654RG-48,-,-,"Experience Attainable Luxury® with the ZLINE 48"" DuraSnow® Stainless Steel Dual Fuel Professional Range and Range Hood Bundle. With built-to-last quality and modern designs, this combination is a great addition to any kitchen. Enjoy a complete, seamless look for years to come with ZLINE’s exclusive DuraSnow® finish features a timeless non-directional fingerprint-resistant finish, allowing you to easily combat everyday wear and tear. Achieve optimal results with cooktop power ranging from 4,200 up to 18,000 BTUs provided with sealed burners, and precise and even heating for every homemade dish with an electric convection oven. With upgraded premium features such as SmoothSlide ball-bearing oven racks, dual lighting, and adjustable legs, this dual fuel range is certain to wow both the chef and guests alike. The range hood’s high-performance, 400 CFM 4-speed motor will provide all the power you need to quietly and efficiently ventilate your stove while cooking. Enjoy modern features, including built-in LED lighting for an illuminated culinary experience and dishwasher-safe stainless steel baffle filters for easy clean-up. This wall mount range hood has a ducted vent with easy, simple installation. The ZLINE Dual Fuel Professional DuraSnow® Range and Range Hood Bundle ships next business day when in stock.",Achieve optimal cooking performance with a 7 burner gas stove and 4.2/1.8 cu. Ft. electric ovens,"Handcrafted, high quality Italian burners imported directly from Italy with premium alloy to ensure efficient and clean-burning flames",ZLINE's proprietary stay-put hinges are designed to support the full weight of the oven door and stop at any place,Heavy duty Italian made porcelain 1-piece cook top allows for an easy to clean surface - no crevices that can hold residue,Fixed vent with ductwork that easily connects to the top of the range hood for external venting,4-Speed fan control (120/240/320/400 CFM) to choose the appropriate air flow for your cooking situation,Dishwasher-safe stainless steel baffle filters,Designed to fit standard (circular) ductwork for simple installation,"Includes a reversible griddle, with one flat side and one grill side","Lifetime warranty on range hood motor, 3 year parts warranty on range hood, and a 1 year service and parts warranty on the range",,,,
2KP-RASRMRH30,1.95948E+11,"$3,554.91 ","$7,099.95 ","ZLINE 30"" Kitchen Package with DuraSnow® Stainless Steel Dual Fuel Range with Red Matte Door and Convertible Vent Range Hood",RAS-RM-30,8654RM-30,-,-,"Experience Attainable Luxury® with the ZLINE 30"" DuraSnow® Stainless Steel Dual Fuel Professional Range and Range Hood Bundle. With built-to-last quality and modern designs, this combination is a great addition to any kitchen. Enjoy a complete, seamless look for years to come with ZLINE’s exclusive DuraSnow® finish features a timeless non-directional fingerprint-resistant finish, allowing you to easily combat everyday wear and tear. Achieve optimal results with cooktop power ranging from 4,200 up to 18,000 BTUs provided with sealed burners, and precise and even heating for every homemade dish with an electric convection oven. With upgraded premium features such as SmoothSlide ball-bearing oven racks, dual lighting, and adjustable legs, this dual fuel range is certain to wow both the chef and guests alike. The range hood’s high-performance, 400 CFM 4-speed motor will provide all the power you need to quietly and efficiently ventilate your stove while cooking. Enjoy modern features, including built-in LED lighting for an illuminated culinary experience and dishwasher-safe stainless steel baffle filters for easy clean-up. This wall mount range hood has a ducted vent with easy, simple installation. The ZLINE Dual Fuel Professional DuraSnow® Range and Range Hood Bundle ships next business day when in stock.",Achieve optimal cooking performance with a 4 burner gas stove and 4.0 cu. Ft. electric oven,"Handcrafted, high quality Italian burners imported directly from Italy with premium alloy to ensure efficient and clean-burning flames",ZLINE's proprietary stay-put hinges are designed to support the full weight of the oven door and stop at any place,Heavy duty Italian made porcelain 1-piece cook top allows for an easy to clean surface - no crevices that can hold residue,Fixed vent with ductwork that easily connects to the top of the range hood for external venting,4-Speed fan control (120/240/320/400 CFM) to choose the appropriate air flow for your cooking situation,Dishwasher-safe stainless steel baffle filters,Designed to fit standard (circular) ductwork for simple installation,"Includes a reversible griddle, with one flat side and one grill side","Lifetime warranty on range hood motor, 3 year parts warranty on range hood, and a 1 year service and parts warranty on the range",,,,
2KP-RASRMRH36,1.95948E+11,"$4,229.91 ","$8,499.95 ","ZLINE 36"" Kitchen Package with DuraSnow® Stainless Steel Dual Fuel Range with Red Matte Door and Convertible Vent Range Hood",RAS-RM-36,8654RM-36,-,-,"Experience Attainable Luxury® with the ZLINE 36"" DuraSnow® Stainless Steel Dual Fuel Professional Range and Range Hood Bundle. With built-to-last quality and modern designs, this combination is a great addition to any kitchen. Enjoy a complete, seamless look for years to come with ZLINE’s exclusive DuraSnow® finish features a timeless non-directional fingerprint-resistant finish, allowing you to easily combat everyday wear and tear. Achieve optimal results with cooktop power ranging from 4,200 up to 18,000 BTUs provided with sealed burners, and precise and even heating for every homemade dish with an electric convection oven. With upgraded premium features such as SmoothSlide ball-bearing oven racks, dual lighting, and adjustable legs, this dual fuel range is certain to wow both the chef and guests alike. The range hood’s high-performance, 400 CFM 4-speed motor will provide all the power you need to quietly and efficiently ventilate your stove while cooking. Enjoy modern features, including built-in LED lighting for an illuminated culinary experience and dishwasher-safe stainless steel baffle filters for easy clean-up. This wall mount range hood has a ducted vent with easy, simple installation. The ZLINE Dual Fuel Professional DuraSnow® Range and Range Hood Bundle ships next business day when in stock.",Achieve optimal cooking performance with a 4 burner gas stove and 4.0 cu. Ft. electric oven,"Handcrafted, high quality Italian burners imported directly from Italy with premium alloy to ensure efficient and clean-burning flames",ZLINE's proprietary stay-put hinges are designed to support the full weight of the oven door and stop at any place,Heavy duty Italian made porcelain 1-piece cook top allows for an easy to clean surface - no crevices that can hold residue,Fixed vent with ductwork that easily connects to the top of the range hood for external venting,4-Speed fan control (120/240/320/400 CFM) to choose the appropriate air flow for your cooking situation,Dishwasher-safe stainless steel baffle filters,Designed to fit standard (circular) ductwork for simple installation,"Includes a reversible griddle, with one flat side and one grill side","Lifetime warranty on range hood motor, 3 year parts warranty on range hood, and a 1 year service and parts warranty on the range",,,,
2KP-RASRMRH48,1.95948E+11,"$6,839.91 ","$13,699.95 ","ZLINE 48"" Kitchen Package with DuraSnow® Stainless Steel Dual Fuel Range with Red Matte Door and Convertible Vent Range Hood",RAS-RM-48,8654RM-48,-,-,"Experience Attainable Luxury® with the ZLINE 48"" DuraSnow® Stainless Steel Dual Fuel Professional Range and Range Hood Bundle. With built-to-last quality and modern designs, this combination is a great addition to any kitchen. Enjoy a complete, seamless look for years to come with ZLINE’s exclusive DuraSnow® finish features a timeless non-directional fingerprint-resistant finish, allowing you to easily combat everyday wear and tear. Achieve optimal results with cooktop power ranging from 4,200 up to 18,000 BTUs provided with sealed burners, and precise and even heating for every homemade dish with an electric convection oven. With upgraded premium features such as SmoothSlide ball-bearing oven racks, dual lighting, and adjustable legs, this dual fuel range is certain to wow both the chef and guests alike. The range hood’s high-performance, 400 CFM 4-speed motor will provide all the power you need to quietly and efficiently ventilate your stove while cooking. Enjoy modern features, including built-in LED lighting for an illuminated culinary experience and dishwasher-safe stainless steel baffle filters for easy clean-up. This wall mount range hood has a ducted vent with easy, simple installation. The ZLINE Dual Fuel Professional DuraSnow® Range and Range Hood Bundle ships next business day when in stock.",Achieve optimal cooking performance with a 7 burner gas stove and 4.2/1.8 cu. Ft. electric ovens,"Handcrafted, high quality Italian burners imported directly from Italy with premium alloy to ensure efficient and clean-burning flames",ZLINE's proprietary stay-put hinges are designed to support the full weight of the oven door and stop at any place,Heavy duty Italian made porcelain 1-piece cook top allows for an easy to clean surface - no crevices that can hold residue,Fixed vent with ductwork that easily connects to the top of the range hood for external venting,4-Speed fan control (120/240/320/400 CFM) to choose the appropriate air flow for your cooking situation,Dishwasher-safe stainless steel baffle filters,Designed to fit standard (circular) ductwork for simple installation,"Includes a reversible griddle, with one flat side and one grill side","Lifetime warranty on range hood motor, 3 year parts warranty on range hood, and a 1 year service and parts warranty on the range",,,,
2KP-RASSNRH30,1.95948E+11,"$3,644.91 ","$7,299.95 ","ZLINE 30"" Kitchen Package with DuraSnow® Stainless Steel Dual Fuel Range and Convertible Vent Range Hood",RAS-SN-30,8654SN-30,-,-,"Experience Attainable Luxury® with the ZLINE 30"" DuraSnow® Stainless Steel Dual Fuel Professional Range and Range Hood Bundle. With built-to-last quality and modern designs, this combination is a great addition to any kitchen. Enjoy a complete, seamless look for years to come with ZLINE’s exclusive DuraSnow® finish features a timeless non-directional fingerprint-resistant finish, allowing you to easily combat everyday wear and tear. Achieve optimal results with cooktop power ranging from 4,200 up to 18,000 BTUs provided with sealed burners, and precise and even heating for every homemade dish with an electric convection oven. With upgraded premium features such as SmoothSlide ball-bearing oven racks, dual lighting, and adjustable legs, this dual fuel range is certain to wow both the chef and guests alike. The range hood’s high-performance, 400 CFM 4-speed motor will provide all the power you need to quietly and efficiently ventilate your stove while cooking. Enjoy modern features, including built-in LED lighting for an illuminated culinary experience and dishwasher-safe stainless steel baffle filters for easy clean-up. This wall mount range hood has a ducted vent with easy, simple installation. The ZLINE Dual Fuel Professional DuraSnow® Range and Range Hood Bundle ships next business day when in stock.",Achieve optimal cooking performance with a 4 burner gas stove and 4.0 cu. Ft. electric oven,"Handcrafted, high quality Italian burners imported directly from Italy with premium alloy to ensure efficient and clean-burning flames",ZLINE's proprietary stay-put hinges are designed to support the full weight of the oven door and stop at any place,Heavy duty Italian made porcelain 1-piece cook top allows for an easy to clean surface - no crevices that can hold residue,Fixed vent with ductwork that easily connects to the top of the range hood for external venting,4-Speed fan control (120/240/320/400 CFM) to choose the appropriate air flow for your cooking situation,Dishwasher-safe stainless steel baffle filters,Designed to fit standard (circular) ductwork for simple installation,"Includes a reversible griddle, with one flat side and one grill side","Lifetime warranty on range hood motor, 3 year parts warranty on range hood, and a 1 year service and parts warranty on the range",,,,
2KP-RASSNRH36,1.95948E+11,"$4,319.91 ","$8,699.95 ","ZLINE 36"" Kitchen Package with DuraSnow® Stainless Steel Dual Fuel Range and Convertible Vent Range Hood",RAS-SN-36,8654SN-36,-,-,"Experience Attainable Luxury® with the ZLINE 36"" DuraSnow® Stainless Steel Dual Fuel Professional Range and Range Hood Bundle. With built-to-last quality and modern designs, this combination is a great addition to any kitchen. Enjoy a complete, seamless look for years to come with ZLINE’s exclusive DuraSnow® finish features a timeless non-directional fingerprint-resistant finish, allowing you to easily combat everyday wear and tear. Achieve optimal results with cooktop power ranging from 4,200 up to 18,000 BTUs provided with sealed burners, and precise and even heating for every homemade dish with an electric convection oven. With upgraded premium features such as SmoothSlide ball-bearing oven racks, dual lighting, and adjustable legs, this dual fuel range is certain to wow both the chef and guests alike. The range hood’s high-performance, 400 CFM 4-speed motor will provide all the power you need to quietly and efficiently ventilate your stove while cooking. Enjoy modern features, including built-in LED lighting for an illuminated culinary experience and dishwasher-safe stainless steel baffle filters for easy clean-up. This wall mount range hood has a ducted vent with easy, simple installation. The ZLINE Dual Fuel Professional DuraSnow® Range and Range Hood Bundle ships next business day when in stock.",Achieve optimal cooking performance with a 4 burner gas stove and 4.0 cu. Ft. electric oven,"Handcrafted, high quality Italian burners imported directly from Italy with premium alloy to ensure efficient and clean-burning flames",ZLINE's proprietary stay-put hinges are designed to support the full weight of the oven door and stop at any place,Heavy duty Italian made porcelain 1-piece cook top allows for an easy to clean surface - no crevices that can hold residue,Fixed vent with ductwork that easily connects to the top of the range hood for external venting,4-Speed fan control (120/240/320/400 CFM) to choose the appropriate air flow for your cooking situation,Dishwasher-safe stainless steel baffle filters,Designed to fit standard (circular) ductwork for simple installation,"Includes a reversible griddle, with one flat side and one grill side","Lifetime warranty on range hood motor, 3 year parts warranty on range hood, and a 1 year service and parts warranty on the range",,,,
2KP-RASSNRH48,1.95948E+11,"$6,929.91 ","$13,899.95 ","ZLINE 48"" Kitchen Package with DuraSnow® Stainless Steel Dual Fuel Range and Convertible Vent Range Hood",RAS-SN-48,8654SN-48,-,-,"Experience Attainable Luxury® with the ZLINE 48"" DuraSnow® Stainless Steel Dual Fuel Professional Range and Range Hood Bundle. With built-to-last quality and modern designs, this combination is a great addition to any kitchen. Enjoy a complete, seamless look for years to come with ZLINE’s exclusive DuraSnow® finish features a timeless non-directional fingerprint-resistant finish, allowing you to easily combat everyday wear and tear. Achieve optimal results with cooktop power ranging from 4,200 up to 18,000 BTUs provided with sealed burners, and precise and even heating for every homemade dish with an electric convection oven. With upgraded premium features such as SmoothSlide ball-bearing oven racks, dual lighting, and adjustable legs, this dual fuel range is certain to wow both the chef and guests alike. The range hood’s high-performance, 400 CFM 4-speed motor will provide all the power you need to quietly and efficiently ventilate your stove while cooking. Enjoy modern features, including built-in LED lighting for an illuminated culinary experience and dishwasher-safe stainless steel baffle filters for easy clean-up. This wall mount range hood has a ducted vent with easy, simple installation. The ZLINE Dual Fuel Professional DuraSnow® Range and Range Hood Bundle ships next business day when in stock.",Achieve optimal cooking performance with a 7 burner gas stove and 4.2/1.8 cu. Ft. electric ovens,"Handcrafted, high quality Italian burners imported directly from Italy with premium alloy to ensure efficient and clean-burning flames",ZLINE's proprietary stay-put hinges are designed to support the full weight of the oven door and stop at any place,Heavy duty Italian made porcelain 1-piece cook top allows for an easy to clean surface - no crevices that can hold residue,Fixed vent with ductwork that easily connects to the top of the range hood for external venting,4-Speed fan control (120/240/320/400 CFM) to choose the appropriate air flow for your cooking situation,Dishwasher-safe stainless steel baffle filters,Designed to fit standard (circular) ductwork for simple installation,"Includes a reversible griddle, with one flat side and one grill side","Lifetime warranty on range hood motor, 3 year parts warranty on range hood, and a 1 year service and parts warranty on the range",,,,
2KP-RASWMRH30,1.95948E+11,"$3,644.91 ","$7,299.95 ","ZLINE 30"" Kitchen Package with DuraSnow® Stainless Steel Dual Fuel Range with White Matte Door and Convertible Vent Range Hood",RAS-WM-30,8654WM-30,-,-,"Experience Attainable Luxury® with the ZLINE 30"" DuraSnow® Stainless Steel Dual Fuel Professional Range and Range Hood Bundle. With built-to-last quality and modern designs, this combination is a great addition to any kitchen. Enjoy a complete, seamless look for years to come with ZLINE’s exclusive DuraSnow® finish features a timeless non-directional fingerprint-resistant finish, allowing you to easily combat everyday wear and tear. Achieve optimal results with cooktop power ranging from 4,200 up to 18,000 BTUs provided with sealed burners, and precise and even heating for every homemade dish with an electric convection oven. With upgraded premium features such as SmoothSlide ball-bearing oven racks, dual lighting, and adjustable legs, this dual fuel range is certain to wow both the chef and guests alike. The range hood’s high-performance, 400 CFM 4-speed motor will provide all the power you need to quietly and efficiently ventilate your stove while cooking. Enjoy modern features, including built-in LED lighting for an illuminated culinary experience and dishwasher-safe stainless steel baffle filters for easy clean-up. This wall mount range hood has a ducted vent with easy, simple installation. The ZLINE Dual Fuel Professional DuraSnow® Range and Range Hood Bundle ships next business day when in stock.",Achieve optimal cooking performance with a 4 burner gas stove and 4.0 cu. Ft. electric oven,"Handcrafted, high quality Italian burners imported directly from Italy with premium alloy to ensure efficient and clean-burning flames",ZLINE's proprietary stay-put hinges are designed to support the full weight of the oven door and stop at any place,Heavy duty Italian made porcelain 1-piece cook top allows for an easy to clean surface - no crevices that can hold residue,Fixed vent with ductwork that easily connects to the top of the range hood for external venting,4-Speed fan control (120/240/320/400 CFM) to choose the appropriate air flow for your cooking situation,Dishwasher-safe stainless steel baffle filters,Designed to fit standard (circular) ductwork for simple installation,"Includes a reversible griddle, with one flat side and one grill side","Lifetime warranty on range hood motor, 3 year parts warranty on range hood, and a 1 year service and parts warranty on the range",,,,
2KP-RASWMRH36,1.95948E+11,"$4,319.91 ","$8,399.95 ","ZLINE 36"" Kitchen Package with DuraSnow® Stainless Steel Dual Fuel Range with White Matte Door and Convertible Vent Range Hood",RAS-WM-36,8654WM-36,-,-,"Experience Attainable Luxury® with the ZLINE 36"" DuraSnow® Stainless Steel Dual Fuel Professional Range and Range Hood Bundle. With built-to-last quality and modern designs, this combination is a great addition to any kitchen. Enjoy a complete, seamless look for years to come with ZLINE’s exclusive DuraSnow® finish features a timeless non-directional fingerprint-resistant finish, allowing you to easily combat everyday wear and tear. Achieve optimal results with cooktop power ranging from 4,200 up to 18,000 BTUs provided with sealed burners, and precise and even heating for every homemade dish with an electric convection oven. With upgraded premium features such as SmoothSlide ball-bearing oven racks, dual lighting, and adjustable legs, this dual fuel range is certain to wow both the chef and guests alike. The range hood’s high-performance, 400 CFM 4-speed motor will provide all the power you need to quietly and efficiently ventilate your stove while cooking. Enjoy modern features, including built-in LED lighting for an illuminated culinary experience and dishwasher-safe stainless steel baffle filters for easy clean-up. This wall mount range hood has a ducted vent with easy, simple installation. The ZLINE Dual Fuel Professional DuraSnow® Range and Range Hood Bundle ships next business day when in stock.",Achieve optimal cooking performance with a 4 burner gas stove and 4.0 cu. Ft. electric oven,"Handcrafted, high quality Italian burners imported directly from Italy with premium alloy to ensure efficient and clean-burning flames",ZLINE's proprietary stay-put hinges are designed to support the full weight of the oven door and stop at any place,Heavy duty Italian made porcelain 1-piece cook top allows for an easy to clean surface - no crevices that can hold residue,Fixed vent with ductwork that easily connects to the top of the range hood for external venting,4-Speed fan control (120/240/320/400 CFM) to choose the appropriate air flow for your cooking situation,Dishwasher-safe stainless steel baffle filters,Designed to fit standard (circular) ductwork for simple installation,"Includes a reversible griddle, with one flat side and one grill side","Lifetime warranty on range hood motor, 3 year parts warranty on range hood, and a 1 year service and parts warranty on the range",,,,
2KP-RASWMRH48,1.95948E+11,"$6,929.91 ","$13,899.95 ","ZLINE 48"" Kitchen Package with DuraSnow® Stainless Steel Dual Fuel Range with White Matte Door and Convertible Vent Range Hood",RAS-WM-48,8654WM-48,-,-,"Experience Attainable Luxury® with the ZLINE 48"" DuraSnow® Stainless Steel Dual Fuel Professional Range and Range Hood Bundle. With built-to-last quality and modern designs, this combination is a great addition to any kitchen. Enjoy a complete, seamless look for years to come with ZLINE’s exclusive DuraSnow® finish features a timeless non-directional fingerprint-resistant finish, allowing you to easily combat everyday wear and tear. Achieve optimal results with cooktop power ranging from 4,200 up to 18,000 BTUs provided with sealed burners, and precise and even heating for every homemade dish with an electric convection oven. With upgraded premium features such as SmoothSlide ball-bearing oven racks, dual lighting, and adjustable legs, this dual fuel range is certain to wow both the chef and guests alike. The range hood’s high-performance, 400 CFM 4-speed motor will provide all the power you need to quietly and efficiently ventilate your stove while cooking. Enjoy modern features, including built-in LED lighting for an illuminated culinary experience and dishwasher-safe stainless steel baffle filters for easy clean-up. This wall mount range hood has a ducted vent with easy, simple installation. The ZLINE Dual Fuel Professional DuraSnow® Range and Range Hood Bundle ships next business day when in stock.",Achieve optimal cooking performance with a 7 burner gas stove and 4.2/1.8 cu. Ft. electric ovens,"Handcrafted, high quality Italian burners imported directly from Italy with premium alloy to ensure efficient and clean-burning flames",ZLINE's proprietary stay-put hinges are designed to support the full weight of the oven door and stop at any place,Heavy duty Italian made porcelain 1-piece cook top allows for an easy to clean surface - no crevices that can hold residue,Fixed vent with ductwork that easily connects to the top of the range hood for external venting,4-Speed fan control (120/240/320/400 CFM) to choose the appropriate air flow for your cooking situation,Dishwasher-safe stainless steel baffle filters,Designed to fit standard (circular) ductwork for simple installation,"Includes a reversible griddle, with one flat side and one grill side","Lifetime warranty on range hood motor, 3 year parts warranty on range hood, and a 1 year service and parts warranty on the range",,,,
2KP-RAWMRH30,1.95948E+11,"$2,744.91 ","$5,499.95 ","ZLINE 30"" Kitchen Package with Stainless Steel Dual Fuel Range with Whiite Matte Door and Convertible Vent Range Hood",RA-WM-30,KB-30,-,-,"Experience Attainable Luxury® with the ZLINE 30"" Stainless Steel Dual Fuel Professional Range and Range Hood Bundle. With built-to-last quality and modern designs, this combination is a great addition to any kitchen. Enjoy a complete, seamless look for years to come with professional 430 grade stainless steel. Achieve optimal results with cooktop power ranging from 4,200 up to 18,000 BTUs provided with sealed burners, and precise and even heating for every homemade dish with an electric convection oven. With upgraded premium features such as SmoothSlide ball-bearing oven racks, dual lighting, and adjustable legs, this dual fuel range is certain to wow both the chef and guests alike. The range hood’s high-performance, 400 CFM 4-speed motor will provide all the power you need to quietly and efficiently ventilate your stove while cooking. Enjoy modern features, including built-in LED lighting for an illuminated culinary experience and dishwasher-safe stainless steel baffle filters for easy clean-up. This wall mount range hood has a convertible vent, so you can have a luxury range hood whether you need a ducted or ductless option. The ZLINE Dual Fuel Professional Range and Range Hood Bundle ships next business day when in stock.",Achieve optimal cooking performance with a 4 burner gas stove and 4.0 cu. Ft. electric oven,"Handcrafted, high quality Italian burners imported directly from Italy with premium alloy to ensure efficient and clean-burning flames",ZLINE's proprietary stay-put hinges are designed to support the full weight of the oven door and stop at any place,Heavy duty Italian made porcelain 1-piece cook top allows for an easy to clean surface - no crevices that can hold residue,"Convertible range hood - this unit can be externally vented or recirculated (ductless) with charcoal filters (not included, model number CF1) to reduce harmful odors",4-Speed fan control (120/240/320/400 CFM) to choose the appropriate air flow for your cooking situation,Ductwork easily connects to the top of the range hood for external venting,Designed to fit standard (circular) ductwork for simple installation,"Lifetime warranty on range hood motor, 3 year parts warranty on range hood, and a 1 year service and parts warranty on the range",,,,,
2KP-RAWMRH36,1.95948E+11,"$3,284.91 ","$6,599.95 ","ZLINE 36"" Kitchen Package with Stainless Steel Dual Fuel Range with Whiite Matte Door and Convertible Vent Range Hood",RA-WM-36,KB-36,-,-,"Experience Attainable Luxury® with the ZLINE 36"" Stainless Steel Dual Fuel Professional Range and Range Hood Bundle. With built-to-last quality and modern designs, this combination is a great addition to any kitchen. Enjoy a complete, seamless look for years to come with professional 430 grade stainless steel. Achieve optimal results with cooktop power ranging from 4,200 up to 18,000 BTUs provided with sealed burners, and precise and even heating for every homemade dish with an electric convection oven. With upgraded premium features such as SmoothSlide ball-bearing oven racks, dual lighting, and adjustable legs, this dual fuel range is certain to wow both the chef and guests alike. The range hood’s high-performance, 400 CFM 4-speed motor will provide all the power you need to quietly and efficiently ventilate your stove while cooking. Enjoy modern features, including built-in LED lighting for an illuminated culinary experience and dishwasher-safe stainless steel baffle filters for easy clean-up. This wall mount range hood has a convertible vent, so you can have a luxury range hood whether you need a ducted or ductless option. The ZLINE Dual Fuel Professional Range and Range Hood Bundle ships next business day when in stock.",Achieve optimal cooking performance with a 4 burner gas stove and 4.0 cu. Ft. electric oven,"Handcrafted, high quality Italian burners imported directly from Italy with premium alloy to ensure efficient and clean-burning flames",ZLINE's proprietary stay-put hinges are designed to support the full weight of the oven door and stop at any place,Heavy duty Italian made porcelain 1-piece cook top allows for an easy to clean surface - no crevices that can hold residue,"Convertible range hood - this unit can be externally vented or recirculated (ductless) with charcoal filters (not included, model number CF1) to reduce harmful odors",4-Speed fan control (120/240/320/400 CFM) to choose the appropriate air flow for your cooking situation,Ductwork easily connects to the top of the range hood for external venting,Designed to fit standard (circular) ductwork for simple installation,"Lifetime warranty on range hood motor, 3 year parts warranty on range hood, and a 1 year service and parts warranty on the range",,,,,
2KP-RAWMRH48,1.95948E+11,"$5,849.91 ","$11,699.95 ","ZLINE 48"" Kitchen Package with Stainless Steel Dual Fuel Range with Whiite Matte Door and Convertible Vent Range Hood",RA-WM-48,KB-48,-,-,"Experience Attainable Luxury® with the ZLINE 48"" Stainless Steel Dual Fuel Professional Range and Range Hood Bundle. With built-to-last quality and modern designs, this combination is a great addition to any kitchen. Enjoy a complete, seamless look for years to come with professional 430 grade stainless steel. Achieve optimal results with cooktop power ranging from 4,200 up to 18,000 BTUs provided with sealed burners, and precise and even heating for every homemade dish with an electric convection oven. With upgraded premium features such as SmoothSlide ball-bearing oven racks, dual lighting, and adjustable legs, this dual fuel range is certain to wow both the chef and guests alike. The range hood’s high-performance, 400 CFM 4-speed motor will provide all the power you need to quietly and efficiently ventilate your stove while cooking. Enjoy modern features, including built-in LED lighting for an illuminated culinary experience and dishwasher-safe stainless steel baffle filters for easy clean-up. This wall mount range hood has a convertible vent, so you can have a luxury range hood whether you need a ducted or ductless option. The ZLINE Dual Fuel Professional Range and Range Hood Bundle ships next business day when in stock.",Achieve optimal cooking performance with a 7 burner gas stove and 4.2/1.8 cu. Ft. electric ovens,"Handcrafted, high quality Italian burners imported directly from Italy with premium alloy to ensure efficient and clean-burning flames",ZLINE's proprietary stay-put hinges are designed to support the full weight of the oven door and stop at any place,Heavy duty Italian made porcelain 1-piece cook top allows for an easy to clean surface - no crevices that can hold residue,"Convertible range hood - this unit can be externally vented or recirculated (ductless) with charcoal filters (not included, model number CF1) to reduce harmful odors",4-Speed fan control (120/240/320/400 CFM) to choose the appropriate air flow for your cooking situation,Ductwork easily connects to the top of the range hood for external venting,Designed to fit standard (circular) ductwork for simple installation,"Includes a reversible griddle, with one flat side and one grill side","Lifetime warranty on range hood motor, 3 year parts warranty on range hood, and a 1 year service and parts warranty on the range",,,,
2KP-RGBGRH30,1.95948E+11,"$2,924.91 ","$5,899.95 ","ZLINE 30"" Kitchen Package with Stainless Steel Gas Range with Blue Gloss Door and Convertible Vent Range Hood",RG-BG-30,KB-30,-,-,"Experience Attainable Luxury® with the ZLINE 30"" Stainless Steel Gas Professional Range with Blue Gloss Door and Range Hood Bundle. With built-to-last quality and modern designs, this combination is a great addition to any kitchen. Enjoy a complete, seamless look for years to come with professional 430 grade stainless steel. Achieve optimal results with cooktop power ranging from 4,200 up to 18,000 BTUs provided with sealed burners, and precise and even heating for every homemade dish with an electric convection oven. With upgraded premium features such as SmoothSlide ball-bearing oven racks, dual lighting, and adjustable legs, this dual fuel range is certain to wow both the chef and guests alike. The range hood’s high-performance, 400 CFM 4-speed motor will provide all the power you need to quietly and efficiently ventilate your stove while cooking. Enjoy modern features, including built-in LED lighting for an illuminated culinary experience and dishwasher-safe stainless steel baffle filters for easy clean-up. This wall mount range hood has a convertible vent, so you can have a luxury range hood whether you need a ducted or ductless option. The ZLINE Gas Professional Range and Range Hood Bundle ships next business day when in stock.",Achieve optimal cooking performance with a 4 burner gas stove and 4.0 cu. Ft. gas oven,"Handcrafted, high quality Italian burners imported directly from Italy with premium alloy to ensure efficient and clean-burning flames",ZLINE's proprietary stay-put hinges are designed to support the full weight of the oven door and stop at any place,Heavy duty Italian made porcelain 1-piece cook top allows for an easy to clean surface - no crevices that can hold residue,"Convertible range hood - this unit can be externally vented or recirculated (ductless) with charcoal filters (not included, model number CF1) to reduce harmful odors",4-Speed fan control (120/240/320/400 CFM) to choose the appropriate air flow for your cooking situation,Ductwork easily connects to the top of the range hood for external venting,Designed to fit standard (circular) ductwork for simple installation,"Lifetime warranty on range hood motor, 3 year parts warranty on range hood, and a 1 year service and parts warranty on the range",,,,,
